iter	Passed	Remaining
0	147	147488
1	149	74845
2	151	50400
3	153	38261
4	155	31001
5	158	26184
6	160	22710
7	161	20029
8	163	17969
9	164	16296
10	166	14970
11	168	13856
12	169	12904
13	171	12095
14	173	11382
15	174	10748
16	176	10192
17	177	9708
18	179	9262
19	181	8871
20	182	8509
21	184	8182
22	185	7870
23	186	7599
24	188	7354
25	190	7124
26	191	6906
27	192	6696
28	194	6510
29	196	6340
30	197	6167
31	198	6019
32	200	5876
33	201	5736
34	203	5607
35	204	5470
36	205	5353
37	207	5246
38	208	5146
39	210	5048
40	211	4938
41	212	4855
42	214	4774
43	215	4683
44	217	4608
45	218	4531
46	220	4463
47	221	4384
48	222	4321
49	224	4261
50	225	4205
51	227	4145
52	228	4079
53	230	4033
54	231	3982
55	233	3935
56	234	3880
57	236	3833
58	237	3784
59	238	3739
60	239	3692
61	240	3644
62	241	3598
63	243	3555
64	244	3514
65	245	3469
66	246	3427
67	246	3380
68	247	3341
69	248	3302
70	249	3266
71	250	3233
72	251	3197
73	252	3165
74	253	3131
75	254	3097
76	255	3063
77	256	3029
78	257	2998
79	258	2967
80	258	2936
81	259	2906
82	260	2876
83	261	2846
84	261	2815
85	262	2788
86	262	2758
87	263	2731
88	264	2705
89	264	2679
90	265	2653
91	266	2627
92	266	2603
93	267	2578
94	268	2556
95	269	2533
96	269	2510
97	270	2488
98	270	2466
99	271	2445
100	272	2424
101	272	2400
102	273	2379
103	273	2360
104	274	2340
105	275	2321
106	275	2301
107	276	2282
108	276	2263
109	277	2244
110	277	2226
111	278	2208
112	279	2192
113	279	2174
114	280	2157
115	280	2140
116	281	2124
117	282	2108
118	282	2092
119	283	2076
120	283	2061
121	284	2046
122	284	2029
123	285	2014
124	285	2000
125	286	1987
126	287	1973
127	287	1957
128	287	1944
129	288	1930
130	289	1918
131	289	1905
132	290	1892
133	290	1880
134	291	1868
135	292	1855
136	292	1844
137	293	1831
138	293	1820
139	294	1808
140	295	1797
141	295	1785
142	296	1774
143	296	1763
144	297	1752
145	297	1741
146	298	1731
147	298	1720
148	299	1710
149	299	1699
150	300	1689
151	301	1679
152	301	1669
153	302	1659
